wiktionary-cldr-merge	sme	http://wiktionary.org/	CC BY-SA
15210870-n	sme:lemma	njukčamánnu	
15211189-n	sme:lemma	cuoŋománnu	
15211484-n	sme:lemma	miessemánnu	
15211806-n	sme:lemma	geassemánnu	
15212167-n	sme:lemma	suoidnemánnu	
15212455-n	sme:lemma	borgemánnu	
15212739-n	sme:lemma	čakčamánnu	
15213115-n	sme:lemma	golggotmánnu	
15213406-n	sme:lemma	skábmamánnu	
15213774-n	sme:lemma	juovlamánnu	
15163797-n	sme:lemma	sotn	
15163979-n	sme:lemma	vuos	
15164105-n	sme:lemma	maŋ	
15164233-n	sme:lemma	gask	
15164354-n	sme:lemma	duor	
15164463-n	sme:lemma	bear	
15164570-n	sme:lemma	láv	
15163979-n	sme:lemma	vuossárga	
15164354-n	sme:lemma	duorasdat	
15164570-n	sme:lemma	lávvardat	
00130518-s	sme:lemma	ib	
00130701-s	sme:lemma	eb	
00130518-s	sme:lemma	iđitbeaivet	
00130701-s	sme:lemma	eahketbeaivet	
00130518-s	sme:lemma	iđitbeaivi	
00130701-s	sme:lemma	eahketbeaivi	
