wiktionary-cldr-merge	tam	http://wiktionary.org/	CC BY-SA
05999797-n	tam:lemma	அறிவியல்	
06000644-n	tam:lemma	கணிதம்	
06018465-n	tam:lemma	புள்ளியியல்	
06037666-n	tam:lemma	உயிரியல்	
06084469-n	tam:lemma	வேதியியல்	
06090869-n	tam:lemma	பெளதிகம்	
06095022-n	tam:lemma	வானியல்	
06099269-n	tam:lemma	இலத்திரனியல்	
06122178-n	tam:lemma	புவியியல்	
06149484-n	tam:lemma	பொருளியல்	
06168855-n	tam:lemma	சொற்பிறப்பியல்	
06169488-n	tam:lemma	இலக்கியம்	
06172789-n	tam:lemma	மொழியியல்	
06174404-n	tam:lemma	இலக்கணம்	
06214744-n	tam:lemma	பொதுவுடமை	
06217103-n	tam:lemma	மக்களாட்சி	
06239361-n	tam:lemma	யோகக்	
06239361-n	tam:lemma	கலை	
06267145-n	tam:lemma	நாளிதழ்	
06267655-n	tam:lemma	செய்தித்தாள்	
06274921-n	tam:lemma	தந்தித்துறை	
06282651-n	tam:lemma	மொழி	
06282651-n	tam:lemma	பாசை	
06286395-n	tam:lemma	வார்த்தை	
06286395-n	tam:lemma	சொல்	
06319293-n	tam:lemma	பெயர்ச்சொல்	
06320569-n	tam:lemma	வினைச்சொல்	
06323612-n	tam:lemma	வினையுரிச்சொல்	
06325370-n	tam:lemma	பெயர்ச்சொல்	
06333653-n	tam:lemma	பெயர்	
06377442-n	tam:lemma	கவிதை	
06402031-n	tam:lemma	நாட்குறிப்பு	
06410904-n	tam:lemma	நூல்	
06410904-n	tam:lemma	புத்தகம்	
06418901-n	tam:lemma	அகரமுதலி	
06431740-n	tam:lemma	விவிலியம்	
06437824-n	tam:lemma	இனிமைமிகு	
06437824-n	tam:lemma	பாடல்	
06444148-n	tam:lemma	எபேசியருக்கு	
06444148-n	tam:lemma	எழுதிய	
06444148-n	tam:lemma	திருமுகம்	
06497459-n	tam:lemma	அகரவரிசை	
06497459-n	tam:lemma	நெடுங்கணக்கு	
06500937-n	tam:lemma	பாஸ்போர்ட்	
06514621-n	tam:lemma	சொற்பிறப்பியல்	
06536389-n	tam:lemma	மொழிபெயர்ப்பு	
06568134-n	tam:lemma	இயங்குதளம்	
06613686-n	tam:lemma	திரைப்படம்	
06622709-n	tam:lemma	தந்தி	
06624161-n	tam:lemma	கடுதாசி	
06693502-n	tam:lemma	வௌகற	
06746005-n	tam:lemma	விடை	
06919712-n	tam:lemma	நாவஹோ	
06919712-n	tam:lemma	மொழி	
06929742-n	tam:lemma	சீனம்	
06944348-n	tam:lemma	ருஸ்சியன்	
06944480-n	tam:lemma	பைலோருஸ்சியன்	
06944623-n	tam:lemma	யூக்ரேனியன்	
06944720-n	tam:lemma	போலிஷ்	
06944911-n	tam:lemma	செக	
06947032-n	tam:lemma	ஆங்கிலம்	
06947032-n	tam:lemma	ஆங்கிலம	
