wiktionary-cldr-merge	bod	http://wiktionary.org/	CC BY-SA
08946909-n	bod:lemma	གྷ་རི་ན་ཌ།	
09076421-n	bod:lemma	ཇོར་ཇི་ཡ།	
09018848-n	bod:lemma	ཇོར་ཇི་ཡ།	
09075842-n	bod:lemma	ཇོར་ཇི་ཡ།	
08946187-n	bod:lemma	གྷ་ན།	
08945821-n	bod:lemma	གྷམ་བི་ཡ།	
08947319-n	bod:lemma	གྷི་ནི་ཡ།	
08782319-n	bod:lemma	གྷི་རཱི་སི།	
08780881-n	bod:lemma	གྷི་རཱི་སི།	
08737041-n	bod:lemma	གྷོ་ཊེ་མ་ལ།	
08947772-n	bod:lemma	གྷི་ནི་ཡ་བིས྄་སོ།	
08948346-n	bod:lemma	གྷུ་ཡཱ་ན།	
08731148-n	bod:lemma	ཧོང་ཀོང༌།	
08737716-n	bod:lemma	ཧོན་དུ་རས྄།	
08815858-n	bod:lemma	ཀུརོ་ཤི་ཡ།	
08751494-n	bod:lemma	ཧེ་ཏི།	
08751317-n	bod:lemma	ཧེ་ཏི།	
08952190-n	bod:lemma	ཧངྒ་རི།	
08907606-n	bod:lemma	ཨིན་ཌོ་ནེ་ཤི་ཡ།	
08888676-n	bod:lemma	ཨ་ཡར་ལནཌ།	
08859173-n	bod:lemma	ཨ་ཡར་ལནཌ།	
08792548-n	bod:lemma	ཨི་ཛ྄་རེལ།	
08792295-n	bod:lemma	ཨི་ཛ྄་རེལ།	
08900535-n	bod:lemma	རྒྱ་གར་	
08913434-n	bod:lemma	ཨི་རག།	
08910668-n	bod:lemma	ཨི་རཱན།	
08953324-n	bod:lemma	ཨ་ཨི་སི་ལནད།	
08953151-n	bod:lemma	ཨ་ཨི་སི་ལནད།	
08801678-n	bod:lemma	ཨི་ཀྲར་ལི་	
08753933-n	bod:lemma	ཛ་མེ་ཀ།	
08753729-n	bod:lemma	ཛ་མེ་ཀ།	
08927186-n	bod:lemma	ཇོར་ཌན།	
08920381-n	bod:lemma	རི་པིན་	
08921850-n	bod:lemma	རི་པིན་	
08928193-n	bod:lemma	ཁེན་ཉི་ཡ།	
09020440-n	bod:lemma	ཁིར་གིཛ་སྟཱན།	
08716738-n	bod:lemma	ཀམ་བོ་ཌི་ཡ།	
08840749-n	bod:lemma	ཀི་རི་བཱ་ཏི།	
08987423-n	bod:lemma	སེནྚ།	
08955626-n	bod:lemma	ཀོ་རི་ཡ།	
08929555-n	bod:lemma	ཀུ་ཝེད་རྒྱལ་ཁབ།	
08929243-n	bod:lemma	ཀུ་ཝེད་རྒྱལ་ཁབ།	
08709399-n	bod:lemma	ཁེ་མེན་གླིང་ཕྲན།	
09019726-n	bod:lemma	ཁ་ཛཱག་སྟཱན།	
08956760-n	bod:lemma	ལཱ་འོས།	
08957381-n	bod:lemma	ལེབ་ནོན།	
08988453-n	bod:lemma	སེནྚ།	
08988609-n	bod:lemma	སེནྚ།	
08960548-n	bod:lemma	ལེག་ཏེན་ཚིན།	
08719100-n	bod:lemma	ཤྲཱི་ལངྐ་།	
08959254-n	bod:lemma	ལི་བེ་རི་ཡ།	
08958830-n	bod:lemma	ལེ་སོ་ཐོ།	
09013830-n	bod:lemma	ལི་ཐུ་ཨེ་ནི་ཡ།	
08960987-n	bod:lemma	ལཀ་ཛམ་བོརྒ།	
08961402-n	bod:lemma	ལཀ་ཛམ་བོརྒ།	
09013074-n	bod:lemma	ལཏ་བི་ཡ།	
08959683-n	bod:lemma	ལི་བི་ཡ།	
08969291-n	bod:lemma	མོ་རོ་ཀྐོ།	
08967868-n	bod:lemma	མོ་ན་ཀོ།	
08962187-n	bod:lemma	མ་དཱ་གྷསྐཱར།	
08961970-n	bod:lemma	མ་དཱ་གྷསྐཱར།	
08839092-n	bod:lemma	མཱར་ཤལ་གླིང་ཕྲེན།	
08838887-n	bod:lemma	མཱར་ཤལ་གླིང་ཕྲེན།	
08965598-n	bod:lemma	མ་ལི།	
08715390-n	bod:lemma	འབར་མ།	
